H,MAE,MAPE,sMAPE
1,57.953416651627165,1591509387.3914418,42.212215851136705
2,60.66099979806661,1744714948.1303024,42.785008400891186
3,58.177353895785494,1717667396.898181,44.37831073493487
4,57.55235775954444,1830674911.8105206,45.812839433358484
5,59.405838675354985,1804973764.0008488,45.75762564616993
6,55.45506501563078,1413157260.954621,45.93867065382286
7,50.1128807245619,924459558.1095318,46.33121652220925
8,50.731535703826644,1067042310.5916867,47.54516499817949
9,52.65923851489666,1143004182.8873634,48.52220069125981
10,54.671914171173235,1309796107.9071083,49.75157178808464
11,54.11440135102511,1192133413.592115,49.90163150183157
12,54.38242008746195,1078960626.9530501,50.46918904901371
13,62.38058243658234,1347321624.2345304,54.953264517633194
